"report_name","report_url","report_source"
"Film Tax Credit 2020 Quarterly Reports","https://esd.ny.gov/esd-media-center/reports/film-tax-credit-2020-quarterly-reports","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"Empire State Jobs Retention Program - Quarterly Report: 9/30/2020","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-9302020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"Excelsior Jobs Program Quarterly Report: 9/30/2020","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-9302020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"I Love New York Hospitality Suite – 2020 Usage Report","https://esd.ny.gov/sites/default/files/news-articles/I-Love-NY-Hospitality-Suite-Report-2020-21.pdf","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"Empire State Jobs Retention Program - Quarterly Report: 6/30/2020","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-6302020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=7"
"Excelsior Jobs Program Quarterly Report: 6/30/2020","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-6302020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"Empire State Jobs Retention Program - Quarterly Report: 3/31/2020","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-3312020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"Excelsior Jobs Program Quarterly Report: 3/31/2020","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-3312020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"2019 Tourism Economics","https://esd.ny.gov/esd-media-center/reports/2019-tourism-economics","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"Empire State Development Quarterly Status Reports: 2020-2021","https://esd.ny.gov/esd-media-center/reports/empire-state-development-quarterly-status-reports-2020-2021","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"FY 18/19 Tourism and Business Report","https://esd.ny.gov/sites/default/files/news-articles/FY-18-19-Tourism-and-Business-Report.pdf","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"Empire State Jobs Retention Program - Quarterly Report: 12/31/2019","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-12312019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"Excelsior Jobs Program Quarterly Report: 12/31/2019","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-12312019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"Centers for Advanced Technology Report (FY 2016 -2017 & FY 2017-2018)","https://esd.ny.gov/esd-media-center/reports/centers-advanced-technology-report-fy-2016-2017-fy-2017-2018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
"Centers of Excellence Report (FY 2016 -2017 & FY 2017-2018)","https://esd.ny.gov/esd-media-center/reports/centers-excellence-report-fy-2016-2017-fy-2017-2018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=8"
